,date,region,sales
0,06-02-2018,north,1638
1,06-02-2018,south,1647
2,06-02-2018,east,1731
3,06-02-2018,west,1557
4,13-02-2018,north,1572
5,13-02-2018,south,1716
6,13-02-2018,east,1773
7,13-02-2018,west,1725
8,20-02-2018,north,1698
9,20-02-2018,south,1575
10,20-02-2018,east,1500
11,20-02-2018,west,1551
12,27-02-2018,north,1665
13,27-02-2018,south,1695
14,27-02-2018,east,1578
15,27-02-2018,west,1620
16,06-03-2018,north,1719
17,06-03-2018,south,1719
18,06-03-2018,east,1659
19,06-03-2018,west,1800
20,13-03-2018,north,1644
21,13-03-2018,south,1611
22,13-03-2018,east,1554
23,13-03-2018,west,1515
24,20-03-2018,north,1647
25,20-03-2018,south,1614
26,20-03-2018,east,1629
27,20-03-2018,west,1677
28,27-03-2018,north,1767
29,27-03-2018,south,1590
30,27-03-2018,east,1533
31,27-03-2018,west,1704
32,03-04-2018,north,1767
33,03-04-2018,south,1767
34,03-04-2018,east,1614
35,03-04-2018,west,1533
36,10-04-2018,north,1686
37,10-04-2018,south,1527
38,10-04-2018,east,1698
39,10-04-2018,west,1728
40,17-04-2018,north,1599
41,17-04-2018,south,1728
42,17-04-2018,east,1704
43,17-04-2018,west,1539
44,24-04-2018,north,1503
45,24-04-2018,south,1650
46,24-04-2018,east,1689
47,24-04-2018,west,1743
48,01-05-2018,north,1785
49,01-05-2018,south,1764
50,01-05-2018,east,1506
51,01-05-2018,west,1536
52,08-05-2018,north,1617
53,08-05-2018,south,1650
54,08-05-2018,east,1728
55,08-05-2018,west,1635
56,15-05-2018,north,1800
57,15-05-2018,south,1758
58,15-05-2018,east,1701
59,15-05-2018,west,1671
60,22-05-2018,north,1572
61,22-05-2018,south,1569
62,22-05-2018,east,1581
63,22-05-2018,west,1521
64,29-05-2018,north,1713
65,29-05-2018,south,1752
66,29-05-2018,east,1629
67,29-05-2018,west,1635
68,05-06-2018,north,1713
69,05-06-2018,south,1698
70,05-06-2018,east,1557
71,05-06-2018,west,1782
72,12-06-2018,north,1776
73,12-06-2018,south,1551
74,12-06-2018,east,1548
75,12-06-2018,west,1542
76,19-06-2018,north,1593
77,19-06-2018,south,1749
78,19-06-2018,east,1623
79,19-06-2018,west,1608
80,26-06-2018,north,1728
81,26-06-2018,south,1533
82,26-06-2018,east,1503
83,26-06-2018,west,1629
84,03-07-2018,north,1644
85,03-07-2018,south,1638
86,03-07-2018,east,1623
87,03-07-2018,west,1515
88,10-07-2018,north,1794
89,10-07-2018,south,1794
90,10-07-2018,east,1755
91,10-07-2018,west,1761
92,17-07-2018,north,1551
93,17-07-2018,south,1566
94,17-07-2018,east,1788
95,17-07-2018,west,1614
96,24-07-2018,north,1701
97,24-07-2018,south,1725
98,24-07-2018,east,1752
99,24-07-2018,west,1557
100,31-07-2018,north,1695
101,31-07-2018,south,1707
102,31-07-2018,east,1548
103,31-07-2018,west,1578
104,07-08-2018,north,1566
105,07-08-2018,south,1560
106,07-08-2018,east,1551
107,07-08-2018,west,1626
108,14-08-2018,north,1623
109,14-08-2018,south,1635
110,14-08-2018,east,1716
111,14-08-2018,west,1707
112,21-08-2018,north,1794
113,21-08-2018,south,1659
114,21-08-2018,east,1644
115,21-08-2018,west,1707
116,28-08-2018,north,1566
117,28-08-2018,south,1680
118,28-08-2018,east,1656
119,28-08-2018,west,1722
120,04-09-2018,north,1794
121,04-09-2018,south,1509
122,04-09-2018,east,1785
123,04-09-2018,west,1539
124,11-09-2018,north,1578
125,11-09-2018,south,1767
126,11-09-2018,east,1749
127,11-09-2018,west,1524
128,18-09-2018,north,1503
129,18-09-2018,south,1530
130,18-09-2018,east,1737
131,18-09-2018,west,1692
132,25-09-2018,north,1530
133,25-09-2018,south,1770
134,25-09-2018,east,1611
135,25-09-2018,west,1701
136,02-10-2018,north,1680
137,02-10-2018,south,1701
138,02-10-2018,east,1800
139,02-10-2018,west,1740
140,09-10-2018,north,1680
141,09-10-2018,south,1590
142,09-10-2018,east,1551
143,09-10-2018,west,1587
144,16-10-2018,north,1551
145,16-10-2018,south,1662
146,16-10-2018,east,1650
147,16-10-2018,west,1788
148,23-10-2018,north,1764
149,23-10-2018,south,1683
150,23-10-2018,east,1602
151,23-10-2018,west,1755
152,30-10-2018,north,1677
153,30-10-2018,south,1719
154,30-10-2018,east,1530
155,30-10-2018,west,1776
156,06-11-2018,north,1740
157,06-11-2018,south,1590
158,06-11-2018,east,1773
159,06-11-2018,west,1641
160,13-11-2018,north,1698
161,13-11-2018,south,1581
162,13-11-2018,east,1776
163,13-11-2018,west,1644
164,20-11-2018,north,1791
165,20-11-2018,south,1578
166,20-11-2018,east,1632
167,20-11-2018,west,1674
168,27-11-2018,north,1773
169,27-11-2018,south,1647
170,27-11-2018,east,1725
171,27-11-2018,west,1644
172,04-12-2018,north,1722
173,04-12-2018,south,1788
174,04-12-2018,east,1788
175,04-12-2018,west,1587
176,11-12-2018,north,1509
177,11-12-2018,south,1527
178,11-12-2018,east,1575
179,11-12-2018,west,1620
180,18-12-2018,north,1755
181,18-12-2018,south,1755
182,18-12-2018,east,1605
183,18-12-2018,west,1779
184,25-12-2018,north,1512
185,25-12-2018,south,1605
186,25-12-2018,east,1623
187,25-12-2018,west,1533
188,01-01-2019,north,1518
189,01-01-2019,south,1632
190,01-01-2019,east,1755
191,01-01-2019,west,1551
192,08-01-2019,north,1722
193,08-01-2019,south,1551
194,08-01-2019,east,1731
195,08-01-2019,west,1701
196,15-01-2019,north,1605
197,15-01-2019,south,1761
198,15-01-2019,east,1617
199,15-01-2019,west,1503
200,22-01-2019,north,1719
201,22-01-2019,south,1506
202,22-01-2019,east,1794
203,22-01-2019,west,1731
204,29-01-2019,north,1500
205,29-01-2019,south,1728
206,29-01-2019,east,1605
207,29-01-2019,west,1614
208,05-02-2019,north,1617
209,05-02-2019,south,1659
210,05-02-2019,east,1674
211,05-02-2019,west,1524
212,12-02-2019,north,1572
